"card","num_exact","proportion","cluster"
"Rabbit",3,0.0148596587782058,"Cluster_5"
"Rabbit",4,0.000275178866263071,"Cluster_5"
"Rabbit",5,0,"Cluster_5"
"Rabbit",6,0,"Cluster_5"
"Rabbit",7,0,"Cluster_5"
"Dragonfly",0,0.201981287837094,"Cluster_5"
"Dragonfly",1,0.465465052283985,"Cluster_5"
"Dragonfly",2,0.25715465052284,"Cluster_5"
"Dragonfly",3,0.067831590533847,"Cluster_5"
"Dragonfly",4,0.00687947165657677,"Cluster_5"
"Dragonfly",5,0.000687947165657678,"Cluster_5"
"Dragonfly",6,0,"Cluster_5"
"Dragonfly",7,0,"Cluster_5"
"Fox",0,0.0262795817281233,"Cluster_5"
"Fox",1,0.197716015410017,"Cluster_5"
"Fox",2,0.323747936158503,"Cluster_5"
"Fox",3,0.283021463951569,"Cluster_5"
"Fox",4,0.126031920748487,"Cluster_5"
"Fox",5,0.0363236103467254,"Cluster_5"
"Fox",6,0.00591634562465603,"Cluster_5"
"Fox",7,0.000963126031920749,"Cluster_5"
"Deer",0,0.00564116675839296,"Cluster_5"
"Deer",1,0.0932856356631811,"Cluster_5"
"Deer",2,0.301458447991194,"Cluster_5"
"Deer",3,0.358145294441387,"Cluster_5"
"Deer",4,0.187671986791414,"Cluster_5"
"Deer",5,0.0469179966978536,"Cluster_5"
"Deer",6,0.0061915244909191,"Cluster_5"
"Deer",7,0.000687947165657678,"Cluster_5"
"Stream",0,0.0126582278481013,"Cluster_5"
"Stream",1,0.138139790864062,"Cluster_5"
"Stream",2,0.275454045129334,"Cluster_5"
"Stream",3,0.329113924050633,"Cluster_5"
"Stream",4,0.188222344523941,"Cluster_5"
"Stream",5,0.0502201430930105,"Cluster_5"
"Stream",6,0.00605393505778756,"Cluster_5"
"Stream",7,0.000137589433131535,"Cluster_5"
"Wolf",0,0.0792515134837644,"Cluster_5"
"Wolf",1,0.318657127132636,"Cluster_5"
"Wolf",2,0.33874518436984,"Cluster_5"
"Wolf",3,0.200467804072647,"Cluster_5"
"Wolf",4,0.0553109521188773,"Cluster_5"
"Wolf",5,0.00729223995597138,"Cluster_5"
"Wolf",6,0.000275178866263071,"Cluster_5"
"Wolf",7,0,"Cluster_5"
"Bear",0,0.203751465416178,"Cluster_6"
"Bear",1,0.482063305978898,"Cluster_6"
"Bear",2,0.270808909730363,"Cluster_6"
"Bear",3,0.0407971864009379,"Cluster_6"
"Bear",4,0.00257913247362251,"Cluster_6"
"Bear",5,0,"Cluster_6"
"Bear",6,0,"Cluster_6"
"Bear",7,0,"Cluster_6"
"Bee",0,0.219460726846424,"Cluster_6"
"Bee",1,0.435404454865182,"Cluster_6"
"Bee",2,0.248300117233294,"Cluster_6"
"Bee",3,0.0841735052754982,"Cluster_6"
"Bee",4,0.0114888628370457,"Cluster_6"
"Bee",5,0.00117233294255569,"Cluster_6"
"Bee",6,0,"Cluster_6"
"Bee",7,0,"Cluster_6"
"Meadow",0,0.0189917936694021,"Cluster_6"
"Meadow",1,0.102227432590856,"Cluster_6"
"Meadow",2,0.245955451348183,"Cluster_6"
"Meadow",3,0.293786635404455,"Cluster_6"
"Meadow",4,0.22274325908558,"Cluster_6"
"Meadow",5,0.0900351699882767,"Cluster_6"
"Meadow",6,0.0206330597889801,"Cluster_6"
"Meadow",7,0.00562719812426729,"Cluster_6"
"Trout",0,0,"Cluster_6"
"Trout",1,0.00398593200468933,"Cluster_6"
"Trout",2,0.320281359906213,"Cluster_6"
"Trout",3,0.45767878077374,"Cluster_6"
"Trout",4,0.175146541617819,"Cluster_6"
"Trout",5,0.0391559202813599,"Cluster_6"
"Trout",6,0.00375146541617819,"Cluster_6"
"Trout",7,0,"Cluster_6"
"Eagle",0,0.160375146541618,"Cluster_6"
"Eagle",1,0.481125439624853,"Cluster_6"
"Eagle",2,0.274091441969519,"Cluster_6"
"Eagle",3,0.0722157092614302,"Cluster_6"
"Eagle",4,0.0117233294255569,"Cluster_6"
"Eagle",5,0.000468933177022274,"Cluster_6"
"Eagle",6,0,"Cluster_6"
"Eagle",7,0,"Cluster_6"
"Rabbit",0,0.322860492379836,"Cluster_6"
"Rabbit",1,0.502461899179367,"Cluster_6"
"Rabbit",2,0.161547479484174,"Cluster_6"
"Rabbit",3,0.0126611957796014,"Cluster_6"
"Rabbit",4,0.000468933177022274,"Cluster_6"
"Rabbit",5,0,"Cluster_6"
"Rabbit",6,0,"Cluster_6"
"Rabbit",7,0,"Cluster_6"
"Dragonfly",0,0.3010550996483,"Cluster_6"
"Dragonfly",1,0.375849941383353,"Cluster_6"
"Dragonfly",2,0.216178194607268,"Cluster_6"
"Dragonfly",3,0.0834701055099648,"Cluster_6"
"Dragonfly",4,0.0211019929660023,"Cluster_6"
"Dragonfly",5,0.0018757327080891,"Cluster_6"
"Dragonfly",6,0.000468933177022274,"Cluster_6"
"Dragonfly",7,0,"Cluster_6"
"Fox",0,0.116529894490035,"Cluster_6"
"Fox",1,0.345369284876905,"Cluster_6"
"Fox",2,0.318640093786635,"Cluster_6"
"Fox",3,0.160140679953107,"Cluster_6"
"Fox",4,0.0508792497069168,"Cluster_6"
"Fox",5,0.00726846424384525,"Cluster_6"
"Fox",6,0.000703399765533411,"Cluster_6"
"Fox",7,0.000468933177022274,"Cluster_6"
"Deer",0,0.102696365767878,"Cluster_6"
"Deer",1,0.34021101992966,"Cluster_6"
"Deer",2,0.346541617819461,"Cluster_6"
"Deer",3,0.16084407971864,"Cluster_6"
"Deer",4,0.041031652989449,"Cluster_6"
"Deer",5,0.00750293083235639,"Cluster_6"
"Deer",6,0.00117233294255569,"Cluster_6"
"Deer",7,0,"Cluster_6"
"Stream",0,0.01031652989449,"Cluster_6"
"Stream",1,0.0846424384525205,"Cluster_6"
"Stream",2,0.242438452520516,"Cluster_6"
"Stream",3,0.309026963657679,"Cluster_6"
"Stream",4,0.210550996483001,"Cluster_6"
"Stream",5,0.106682297772567,"Cluster_6"
"Stream",6,0.0295427901524033,"Cluster_6"
"Stream",7,0.00679953106682298,"Cluster_6"
"Wolf",0,0.0963657678780774,"Cluster_6"
"Wolf",1,0.305041031652989,"Cluster_6"
"Wolf",2,0.337397420867526,"Cluster_6"
"Wolf",3,0.193669402110199,"Cluster_6"
"Wolf",4,0.0586166471277843,"Cluster_6"
"Wolf",5,0.00797186400937866,"Cluster_6"
"Wolf",6,0.000937866354044549,"Cluster_6"
"Wolf",7,0,"Cluster_6"
